loss=0.2337, Monte Carlo price=0.1160, predicted=-0.1495
loss=0.1914, Monte Carlo price=0.1185, predicted=-0.1495
loss=0.1374, Monte Carlo price=0.1195, predicted=-0.1495
loss=0.0994, Monte Carlo price=0.1155, predicted=-0.1495
loss=0.0656, Monte Carlo price=0.1218, predicted=-0.1495
loss=0.0552, Monte Carlo price=0.1208, predicted=-0.1495
loss=0.0410, Monte Carlo price=0.1200, predicted=-0.1495
loss=0.0376, Monte Carlo price=0.1161, predicted=-0.1495
loss=0.0313, Monte Carlo price=0.1218, predicted=-0.1495
loss=0.0355, Monte Carlo price=0.1168, predicted=-0.1495
loss=0.0291, Monte Carlo price=0.1149, predicted=-0.1495
loss=0.0277, Monte Carlo price=0.1219, predicted=-0.1495
loss=0.0278, Monte Carlo price=0.1190, predicted=-0.1495
loss=0.0256, Monte Carlo price=0.1241, predicted=-0.1495
loss=0.0255, Monte Carlo price=0.1208, predicted=-0.1495
loss=0.0267, Monte Carlo price=0.1172, predicted=-0.1495
loss=0.0220, Monte Carlo price=0.1209, predicted=-0.1495
loss=0.0227, Monte Carlo price=0.1172, predicted=-0.1495
loss=0.0194, Monte Carlo price=0.1200, predicted=-0.1495
loss=0.0203, Monte Carlo price=0.1200, predicted=-0.1495
loss=0.0199, Monte Carlo price=0.1187, predicted=-0.1495
loss=0.0193, Monte Carlo price=0.1196, predicted=-0.1495
loss=0.0192, Monte Carlo price=0.1145, predicted=-0.1495
loss=0.0175, Monte Carlo price=0.1209, predicted=-0.1495
loss=0.0159, Monte Carlo price=0.1203, predicted=-0.1495
loss=0.0161, Monte Carlo price=0.1202, predicted=-0.1495
loss=0.0160, Monte Carlo price=0.1174, predicted=-0.1495
loss=0.0151, Monte Carlo price=0.1221, predicted=-0.1495
loss=0.0151, Monte Carlo price=0.1201, predicted=-0.1495
loss=0.0144, Monte Carlo price=0.1196, predicted=-0.1495
loss=0.0164, Monte Carlo price=0.1180, predicted=-0.1495
loss=0.0151, Monte Carlo price=0.1169, predicted=-0.1495
loss=0.0146, Monte Carlo price=0.1206, predicted=-0.1495
loss=0.0150, Monte Carlo price=0.1190, predicted=-0.1495
loss=0.0139, Monte Carlo price=0.1177, predicted=-0.1495
loss=0.0138, Monte Carlo price=0.1198, predicted=-0.1495
loss=0.0137, Monte Carlo price=0.1196, predicted=-0.1495
