loss=16.0597, Monte Carlo price=0.1219, predicted=-0.3883
loss=9.8024, Monte Carlo price=0.1195, predicted=-0.2721
loss=6.0571, Monte Carlo price=0.1206, predicted=-0.1736
loss=3.6286, Monte Carlo price=0.1191, predicted=-0.0844
loss=2.5312, Monte Carlo price=0.1241, predicted=-0.0102
loss=1.8571, Monte Carlo price=0.1243, predicted=0.0496
loss=1.5598, Monte Carlo price=0.1206, predicted=0.0955
loss=1.4411, Monte Carlo price=0.1156, predicted=0.1228
loss=1.5071, Monte Carlo price=0.1196, predicted=0.1320
loss=1.5333, Monte Carlo price=0.1200, predicted=0.1292
loss=1.5111, Monte Carlo price=0.1229, predicted=0.1229
loss=1.4128, Monte Carlo price=0.1194, predicted=0.1218
loss=1.3317, Monte Carlo price=0.1184, predicted=0.1282
loss=1.4289, Monte Carlo price=0.1242, predicted=0.1332
loss=1.2841, Monte Carlo price=0.1201, predicted=0.1403
loss=1.2595, Monte Carlo price=0.1244, predicted=0.1325
loss=1.2087, Monte Carlo price=0.1215, predicted=0.1316
loss=1.0807, Monte Carlo price=0.1145, predicted=0.1342
loss=1.0816, Monte Carlo price=0.1144, predicted=0.1424
loss=1.0871, Monte Carlo price=0.1150, predicted=0.1381
loss=1.1511, Monte Carlo price=0.1225, predicted=0.1363
loss=1.0181, Monte Carlo price=0.1174, predicted=0.1321
loss=1.1517, Monte Carlo price=0.1222, predicted=0.1377
loss=1.0342, Monte Carlo price=0.1208, predicted=0.1313
loss=1.0242, Monte Carlo price=0.1165, predicted=0.1330
loss=1.0630, Monte Carlo price=0.1218, predicted=0.1381
loss=0.9969, Monte Carlo price=0.1227, predicted=0.1267
loss=0.9957, Monte Carlo price=0.1181, predicted=0.1334
loss=1.0193, Monte Carlo price=0.1211, predicted=0.1349
loss=0.9537, Monte Carlo price=0.1155, predicted=0.1362
loss=0.9418, Monte Carlo price=0.1153, predicted=0.1255
loss=0.9692, Monte Carlo price=0.1194, predicted=0.1303
loss=0.9593, Monte Carlo price=0.1163, predicted=0.1389
loss=1.0247, Monte Carlo price=0.1236, predicted=0.1430
loss=0.9892, Monte Carlo price=0.1189, predicted=0.1302
loss=1.0001, Monte Carlo price=0.1199, predicted=0.1276
loss=0.9638, Monte Carlo price=0.1220, predicted=0.1290
loss=0.9367, Monte Carlo price=0.1223, predicted=0.1237
loss=0.9492, Monte Carlo price=0.1202, predicted=0.1252
loss=0.9558, Monte Carlo price=0.1202, predicted=0.1299
loss=0.9189, Monte Carlo price=0.1197, predicted=0.1329
loss=0.9240, Monte Carlo price=0.1197, predicted=0.1308
loss=0.9093, Monte Carlo price=0.1171, predicted=0.1329
loss=0.9636, Monte Carlo price=0.1190, predicted=0.1265
loss=0.9935, Monte Carlo price=0.1279, predicted=0.1221
loss=0.9429, Monte Carlo price=0.1207, predicted=0.1219
loss=0.9178, Monte Carlo price=0.1153, predicted=0.1280
loss=0.9362, Monte Carlo price=0.1198, predicted=0.1289
loss=0.9291, Monte Carlo price=0.1201, predicted=0.1211
loss=0.9519, Monte Carlo price=0.1206, predicted=0.1191
loss=0.9134, Monte Carlo price=0.1187, predicted=0.1208
loss=0.9005, Monte Carlo price=0.1184, predicted=0.1231
loss=0.9402, Monte Carlo price=0.1188, predicted=0.1296
loss=0.8961, Monte Carlo price=0.1170, predicted=0.1224
loss=0.9257, Monte Carlo price=0.1215, predicted=0.1150
loss=0.9449, Monte Carlo price=0.1192, predicted=0.1112
loss=0.9333, Monte Carlo price=0.1172, predicted=0.1129
loss=0.8926, Monte Carlo price=0.1160, predicted=0.1194
loss=0.9073, Monte Carlo price=0.1187, predicted=0.1204
loss=0.9258, Monte Carlo price=0.1202, predicted=0.1066
loss=0.8581, Monte Carlo price=0.1157, predicted=0.1119
loss=0.9193, Monte Carlo price=0.1176, predicted=0.1218
loss=0.8929, Monte Carlo price=0.1192, predicted=0.1172
loss=0.8737, Monte Carlo price=0.1178, predicted=0.1107
loss=0.8976, Monte Carlo price=0.1166, predicted=0.1191
loss=0.8725, Monte Carlo price=0.1150, predicted=0.1195
loss=0.9141, Monte Carlo price=0.1170, predicted=0.1137
loss=0.8979, Monte Carlo price=0.1155, predicted=0.1041
loss=0.9273, Monte Carlo price=0.1235, predicted=0.1056
loss=0.8904, Monte Carlo price=0.1182, predicted=0.0942
loss=0.9106, Monte Carlo price=0.1176, predicted=0.0981
loss=0.8924, Monte Carlo price=0.1188, predicted=0.1082
loss=0.9162, Monte Carlo price=0.1190, predicted=0.1124
loss=0.9247, Monte Carlo price=0.1176, predicted=0.1132
loss=0.8949, Monte Carlo price=0.1181, predicted=0.1115
loss=0.8649, Monte Carlo price=0.1122, predicted=0.1068
loss=0.9187, Monte Carlo price=0.1185, predicted=0.1056
loss=0.9347, Monte Carlo price=0.1203, predicted=0.0993
loss=0.9218, Monte Carlo price=0.1195, predicted=0.0997
loss=0.9321, Monte Carlo price=0.1212, predicted=0.1047
loss=0.8861, Monte Carlo price=0.1185, predicted=0.1073
loss=0.9228, Monte Carlo price=0.1211, predicted=0.1111
loss=0.8994, Monte Carlo price=0.1169, predicted=0.1098
loss=0.9347, Monte Carlo price=0.1212, predicted=0.1120
loss=0.9246, Monte Carlo price=0.1199, predicted=0.1134
loss=0.9298, Monte Carlo price=0.1230, predicted=0.1103
loss=0.8703, Monte Carlo price=0.1148, predicted=0.1097
loss=0.9130, Monte Carlo price=0.1205, predicted=0.1063
loss=0.8982, Monte Carlo price=0.1175, predicted=0.1030
loss=0.8819, Monte Carlo price=0.1152, predicted=0.1038
loss=0.9363, Monte Carlo price=0.1171, predicted=0.1078
loss=0.9561, Monte Carlo price=0.1212, predicted=0.1039
loss=0.8919, Monte Carlo price=0.1156, predicted=0.1060
loss=0.9430, Monte Carlo price=0.1201, predicted=0.1026
loss=0.9328, Monte Carlo price=0.1172, predicted=0.0965
loss=0.9349, Monte Carlo price=0.1187, predicted=0.0912
loss=0.9159, Monte Carlo price=0.1175, predicted=0.1025
loss=0.9417, Monte Carlo price=0.1211, predicted=0.1077
loss=0.8592, Monte Carlo price=0.1138, predicted=0.1090
loss=0.9371, Monte Carlo price=0.1199, predicted=0.1053
loss=0.9181, Monte Carlo price=0.1197, predicted=0.1064
loss=0.9378, Monte Carlo price=0.1197, predicted=0.0950
loss=0.8600, Monte Carlo price=0.1143, predicted=0.1081
loss=0.8959, Monte Carlo price=0.1189, predicted=0.1100
loss=0.9438, Monte Carlo price=0.1214, predicted=0.1075
loss=0.9205, Monte Carlo price=0.1184, predicted=0.1087
loss=0.9243, Monte Carlo price=0.1219, predicted=0.1030
loss=0.9381, Monte Carlo price=0.1209, predicted=0.0955
loss=0.9085, Monte Carlo price=0.1199, predicted=0.0991
loss=0.9292, Monte Carlo price=0.1199, predicted=0.0970
loss=0.9245, Monte Carlo price=0.1173, predicted=0.1032
loss=0.9306, Monte Carlo price=0.1197, predicted=0.1057
loss=0.9121, Monte Carlo price=0.1201, predicted=0.1113
loss=0.9112, Monte Carlo price=0.1150, predicted=0.1052
loss=0.8767, Monte Carlo price=0.1153, predicted=0.1127
loss=0.9054, Monte Carlo price=0.1187, predicted=0.1125
loss=0.9065, Monte Carlo price=0.1189, predicted=0.1098
loss=0.9540, Monte Carlo price=0.1223, predicted=0.1114
loss=0.8958, Monte Carlo price=0.1174, predicted=0.1096
loss=0.9226, Monte Carlo price=0.1225, predicted=0.1076
loss=0.8948, Monte Carlo price=0.1166, predicted=0.1085
loss=0.9541, Monte Carlo price=0.1195, predicted=0.1080
loss=0.8875, Monte Carlo price=0.1199, predicted=0.1065
loss=0.8681, Monte Carlo price=0.1129, predicted=0.1027
loss=0.9179, Monte Carlo price=0.1207, predicted=0.1039
loss=0.9322, Monte Carlo price=0.1189, predicted=0.1025
loss=0.8902, Monte Carlo price=0.1176, predicted=0.1094
loss=0.9168, Monte Carlo price=0.1171, predicted=0.1094
loss=0.9012, Monte Carlo price=0.1167, predicted=0.1099
loss=0.9338, Monte Carlo price=0.1215, predicted=0.1015
loss=0.9149, Monte Carlo price=0.1207, predicted=0.1032
loss=0.9364, Monte Carlo price=0.1167, predicted=0.1072
loss=0.9180, Monte Carlo price=0.1202, predicted=0.1095
loss=0.8771, Monte Carlo price=0.1164, predicted=0.1057
loss=0.8938, Monte Carlo price=0.1170, predicted=0.1056
loss=0.9090, Monte Carlo price=0.1204, predicted=0.0964
loss=0.9246, Monte Carlo price=0.1208, predicted=0.1019
loss=0.8987, Monte Carlo price=0.1152, predicted=0.1074
loss=0.9167, Monte Carlo price=0.1170, predicted=0.1055
loss=0.9030, Monte Carlo price=0.1196, predicted=0.1009
loss=0.8761, Monte Carlo price=0.1155, predicted=0.1044
loss=0.8929, Monte Carlo price=0.1170, predicted=0.1024
loss=0.9086, Monte Carlo price=0.1206, predicted=0.1127
loss=0.9212, Monte Carlo price=0.1226, predicted=0.1046
loss=0.9017, Monte Carlo price=0.1160, predicted=0.1002
loss=0.8863, Monte Carlo price=0.1181, predicted=0.1048
loss=0.9038, Monte Carlo price=0.1192, predicted=0.1022
loss=0.9344, Monte Carlo price=0.1205, predicted=0.1070
loss=0.8873, Monte Carlo price=0.1171, predicted=0.1010
loss=0.9147, Monte Carlo price=0.1192, predicted=0.1104
loss=0.8958, Monte Carlo price=0.1194, predicted=0.1119
loss=0.9404, Monte Carlo price=0.1218, predicted=0.1109
loss=0.9261, Monte Carlo price=0.1183, predicted=0.0986
loss=0.9119, Monte Carlo price=0.1217, predicted=0.1028
loss=0.9085, Monte Carlo price=0.1168, predicted=0.1084
loss=0.8736, Monte Carlo price=0.1154, predicted=0.1055
loss=0.8991, Monte Carlo price=0.1216, predicted=0.1059
loss=0.9023, Monte Carlo price=0.1190, predicted=0.1114
loss=0.8984, Monte Carlo price=0.1153, predicted=0.1132
loss=0.8915, Monte Carlo price=0.1152, predicted=0.1132
loss=0.9265, Monte Carlo price=0.1190, predicted=0.1166
loss=0.9505, Monte Carlo price=0.1202, predicted=0.1080
loss=0.9158, Monte Carlo price=0.1199, predicted=0.1085
loss=0.8956, Monte Carlo price=0.1161, predicted=0.1102
loss=0.9481, Monte Carlo price=0.1224, predicted=0.1083
loss=0.9472, Monte Carlo price=0.1226, predicted=0.1032
loss=0.9154, Monte Carlo price=0.1217, predicted=0.1119
loss=0.8925, Monte Carlo price=0.1171, predicted=0.1100
loss=0.9325, Monte Carlo price=0.1195, predicted=0.1065
loss=0.8552, Monte Carlo price=0.1144, predicted=0.1143
loss=0.8982, Monte Carlo price=0.1196, predicted=0.1089
loss=0.9293, Monte Carlo price=0.1193, predicted=0.1054
loss=0.8821, Monte Carlo price=0.1160, predicted=0.1052
loss=0.9005, Monte Carlo price=0.1159, predicted=0.1060
loss=0.8852, Monte Carlo price=0.1163, predicted=0.1130
loss=0.9545, Monte Carlo price=0.1193, predicted=0.1211
loss=0.9220, Monte Carlo price=0.1191, predicted=0.1155
loss=0.8943, Monte Carlo price=0.1154, predicted=0.1053
loss=0.9592, Monte Carlo price=0.1234, predicted=0.1077
loss=0.8804, Monte Carlo price=0.1175, predicted=0.1080
loss=0.9183, Monte Carlo price=0.1174, predicted=0.1067
loss=0.8899, Monte Carlo price=0.1176, predicted=0.1055
loss=0.8934, Monte Carlo price=0.1176, predicted=0.1038
loss=0.9086, Monte Carlo price=0.1177, predicted=0.1071
loss=0.9037, Monte Carlo price=0.1227, predicted=0.1076
loss=0.8947, Monte Carlo price=0.1175, predicted=0.1073
loss=0.9133, Monte Carlo price=0.1192, predicted=0.0978
loss=0.9606, Monte Carlo price=0.1237, predicted=0.1049
loss=0.9293, Monte Carlo price=0.1198, predicted=0.1032
loss=0.8941, Monte Carlo price=0.1192, predicted=0.1092
loss=0.9606, Monte Carlo price=0.1193, predicted=0.0972
loss=0.9580, Monte Carlo price=0.1259, predicted=0.1120
loss=0.9266, Monte Carlo price=0.1196, predicted=0.1136
loss=0.8683, Monte Carlo price=0.1141, predicted=0.1111
loss=0.9226, Monte Carlo price=0.1212, predicted=0.1024
loss=0.8968, Monte Carlo price=0.1156, predicted=0.0990
loss=0.9044, Monte Carlo price=0.1157, predicted=0.1099
loss=0.9425, Monte Carlo price=0.1250, predicted=0.1162
loss=0.8725, Monte Carlo price=0.1171, predicted=0.1148
loss=0.9604, Monte Carlo price=0.1227, predicted=0.1080
