loss=0.1283, Monte Carlo price=0.1160, predicted=-0.1396
loss=0.0658, Monte Carlo price=0.1185, predicted=-0.0439
loss=0.0365, Monte Carlo price=0.1195, predicted=0.0427
loss=0.0318, Monte Carlo price=0.1155, predicted=0.1072
loss=0.0367, Monte Carlo price=0.1218, predicted=0.1422
loss=0.0362, Monte Carlo price=0.1208, predicted=0.1510
loss=0.0323, Monte Carlo price=0.1200, predicted=0.1392
loss=0.0292, Monte Carlo price=0.1161, predicted=0.1263
loss=0.0288, Monte Carlo price=0.1218, predicted=0.1218
loss=0.0253, Monte Carlo price=0.1168, predicted=0.1252
loss=0.0238, Monte Carlo price=0.1149, predicted=0.1321
loss=0.0225, Monte Carlo price=0.1219, predicted=0.1309
loss=0.0178, Monte Carlo price=0.1190, predicted=0.1231
loss=0.0166, Monte Carlo price=0.1241, predicted=0.1232
loss=0.0143, Monte Carlo price=0.1208, predicted=0.1279
loss=0.0126, Monte Carlo price=0.1172, predicted=0.1306
loss=0.0122, Monte Carlo price=0.1209, predicted=0.1278
loss=0.0101, Monte Carlo price=0.1172, predicted=0.1330
loss=0.0092, Monte Carlo price=0.1200, predicted=0.1306
loss=0.0082, Monte Carlo price=0.1200, predicted=0.1300
loss=0.0072, Monte Carlo price=0.1187, predicted=0.1329
loss=0.0067, Monte Carlo price=0.1196, predicted=0.1258
loss=0.0064, Monte Carlo price=0.1145, predicted=0.1339
loss=0.0059, Monte Carlo price=0.1209, predicted=0.1262
loss=0.0053, Monte Carlo price=0.1203, predicted=0.1270
loss=0.0053, Monte Carlo price=0.1202, predicted=0.1293
loss=0.0048, Monte Carlo price=0.1174, predicted=0.1244
loss=0.0047, Monte Carlo price=0.1221, predicted=0.1226
loss=0.0043, Monte Carlo price=0.1201, predicted=0.1255
loss=0.0040, Monte Carlo price=0.1196, predicted=0.1208
loss=0.0037, Monte Carlo price=0.1180, predicted=0.1202
loss=0.0034, Monte Carlo price=0.1169, predicted=0.1211
loss=0.0033, Monte Carlo price=0.1206, predicted=0.1237
loss=0.0028, Monte Carlo price=0.1190, predicted=0.1158
loss=0.0026, Monte Carlo price=0.1177, predicted=0.1179
loss=0.0025, Monte Carlo price=0.1198, predicted=0.1186
loss=0.0025, Monte Carlo price=0.1196, predicted=0.1221
loss=0.0023, Monte Carlo price=0.1211, predicted=0.1189
loss=0.0021, Monte Carlo price=0.1130, predicted=0.1176
loss=0.0020, Monte Carlo price=0.1156, predicted=0.1221
loss=0.0018, Monte Carlo price=0.1157, predicted=0.1199
loss=0.0017, Monte Carlo price=0.1219, predicted=0.1178
loss=0.0015, Monte Carlo price=0.1211, predicted=0.1197
loss=0.0015, Monte Carlo price=0.1170, predicted=0.1194
loss=0.0014, Monte Carlo price=0.1225, predicted=0.1182
loss=0.0013, Monte Carlo price=0.1225, predicted=0.1162
loss=0.0013, Monte Carlo price=0.1181, predicted=0.1198
loss=0.0013, Monte Carlo price=0.1143, predicted=0.1195
loss=0.0012, Monte Carlo price=0.1188, predicted=0.1183
loss=0.0011, Monte Carlo price=0.1227, predicted=0.1175
loss=0.0011, Monte Carlo price=0.1221, predicted=0.1178
loss=0.0011, Monte Carlo price=0.1210, predicted=0.1213
loss=0.0011, Monte Carlo price=0.1218, predicted=0.1200
loss=0.0011, Monte Carlo price=0.1230, predicted=0.1200
loss=0.0010, Monte Carlo price=0.1218, predicted=0.1188
loss=0.0010, Monte Carlo price=0.1180, predicted=0.1183
loss=0.0009, Monte Carlo price=0.1239, predicted=0.1142
loss=0.0009, Monte Carlo price=0.1251, predicted=0.1167
loss=0.0009, Monte Carlo price=0.1198, predicted=0.1180
loss=0.0009, Monte Carlo price=0.1217, predicted=0.1205
loss=0.0009, Monte Carlo price=0.1175, predicted=0.1192
loss=0.0008, Monte Carlo price=0.1177, predicted=0.1161
loss=0.0008, Monte Carlo price=0.1195, predicted=0.1153
loss=0.0008, Monte Carlo price=0.1200, predicted=0.1153
loss=0.0008, Monte Carlo price=0.1186, predicted=0.1174
loss=0.0008, Monte Carlo price=0.1242, predicted=0.1160
loss=0.0008, Monte Carlo price=0.1148, predicted=0.1167
loss=0.0008, Monte Carlo price=0.1199, predicted=0.1170
loss=0.0008, Monte Carlo price=0.1185, predicted=0.1162
loss=0.0008, Monte Carlo price=0.1134, predicted=0.1176
loss=0.0008, Monte Carlo price=0.1159, predicted=0.1174
loss=0.0008, Monte Carlo price=0.1240, predicted=0.1198
loss=0.0008, Monte Carlo price=0.1192, predicted=0.1187
loss=0.0008, Monte Carlo price=0.1182, predicted=0.1172
loss=0.0007, Monte Carlo price=0.1186, predicted=0.1174
loss=0.0008, Monte Carlo price=0.1173, predicted=0.1188
loss=0.0007, Monte Carlo price=0.1170, predicted=0.1168
loss=0.0007, Monte Carlo price=0.1238, predicted=0.1174
loss=0.0007, Monte Carlo price=0.1220, predicted=0.1189
loss=0.0007, Monte Carlo price=0.1183, predicted=0.1168
loss=0.0007, Monte Carlo price=0.1215, predicted=0.1167
loss=0.0007, Monte Carlo price=0.1192, predicted=0.1170
loss=0.0007, Monte Carlo price=0.1208, predicted=0.1181
loss=0.0007, Monte Carlo price=0.1176, predicted=0.1175
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1165
loss=0.0007, Monte Carlo price=0.1243, predicted=0.1168
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1166
loss=0.0007, Monte Carlo price=0.1250, predicted=0.1161
loss=0.0007, Monte Carlo price=0.1187, predicted=0.1178
loss=0.0007, Monte Carlo price=0.1135, predicted=0.1171
loss=0.0007, Monte Carlo price=0.1197, predicted=0.1183
loss=0.0007, Monte Carlo price=0.1145, predicted=0.1174
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1184
loss=0.0007, Monte Carlo price=0.1205, predicted=0.1193
loss=0.0007, Monte Carlo price=0.1190, predicted=0.1182
