loss=0.0111, Monte Carlo price=0.1197, predicted=-0.4017
loss=0.0116, Monte Carlo price=0.1197, predicted=-0.4017
loss=0.0189, Monte Carlo price=0.1143, predicted=-0.4017
loss=0.0141, Monte Carlo price=0.1189, predicted=-0.4017
loss=0.0121, Monte Carlo price=0.1214, predicted=-0.4017
loss=0.0112, Monte Carlo price=0.1184, predicted=-0.4017
loss=0.0126, Monte Carlo price=0.1219, predicted=-0.4017
loss=0.0150, Monte Carlo price=0.1209, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1199, predicted=-0.4017
loss=0.0108, Monte Carlo price=0.1199, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1173, predicted=-0.4017
loss=0.0121, Monte Carlo price=0.1197, predicted=-0.4017
loss=0.0111, Monte Carlo price=0.1201, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1150, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1153, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1187, predicted=-0.4017
loss=0.0120, Monte Carlo price=0.1189, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1223, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1174, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1225, predicted=-0.4017
loss=0.0112, Monte Carlo price=0.1166, predicted=-0.4017
loss=0.0118, Monte Carlo price=0.1195, predicted=-0.4017
loss=0.0126, Monte Carlo price=0.1199, predicted=-0.4017
loss=0.0126, Monte Carlo price=0.1129, predicted=-0.4017
loss=0.0120, Monte Carlo price=0.1207, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1189, predicted=-0.4017
loss=0.0121, Monte Carlo price=0.1176, predicted=-0.4017
loss=0.0110, Monte Carlo price=0.1171, predicted=-0.4017
loss=0.0127, Monte Carlo price=0.1167, predicted=-0.4017
loss=0.0110, Monte Carlo price=0.1215, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1207, predicted=-0.4017
loss=0.0128, Monte Carlo price=0.1167, predicted=-0.4017
loss=0.0118, Monte Carlo price=0.1202, predicted=-0.4017
loss=0.0118, Monte Carlo price=0.1164, predicted=-0.4017
loss=0.0112, Monte Carlo price=0.1170, predicted=-0.4017
loss=0.0116, Monte Carlo price=0.1204, predicted=-0.4017
loss=0.0131, Monte Carlo price=0.1208, predicted=-0.4017
loss=0.0116, Monte Carlo price=0.1152, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1170, predicted=-0.4017
loss=0.0104, Monte Carlo price=0.1196, predicted=-0.4017
loss=0.0111, Monte Carlo price=0.1155, predicted=-0.4017
loss=0.0101, Monte Carlo price=0.1170, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1206, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1226, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1160, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1181, predicted=-0.4017
loss=0.0123, Monte Carlo price=0.1192, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1205, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1171, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1192, predicted=-0.4017
loss=0.0101, Monte Carlo price=0.1194, predicted=-0.4017
loss=0.0104, Monte Carlo price=0.1218, predicted=-0.4017
loss=0.0139, Monte Carlo price=0.1183, predicted=-0.4017
loss=0.0124, Monte Carlo price=0.1217, predicted=-0.4017
loss=0.0123, Monte Carlo price=0.1168, predicted=-0.4017
loss=0.0158, Monte Carlo price=0.1154, predicted=-0.4017
loss=0.0117, Monte Carlo price=0.1216, predicted=-0.4017
loss=0.0103, Monte Carlo price=0.1190, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1153, predicted=-0.4017
loss=0.0112, Monte Carlo price=0.1152, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1190, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1202, predicted=-0.4017
loss=0.0100, Monte Carlo price=0.1199, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1161, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1224, predicted=-0.4017
loss=0.0143, Monte Carlo price=0.1226, predicted=-0.4017
loss=0.0125, Monte Carlo price=0.1217, predicted=-0.4017
loss=0.0111, Monte Carlo price=0.1171, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1195, predicted=-0.4017
loss=0.0134, Monte Carlo price=0.1144, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1196, predicted=-0.4017
loss=0.0098, Monte Carlo price=0.1193, predicted=-0.4017
loss=0.0140, Monte Carlo price=0.1160, predicted=-0.4017
loss=0.0108, Monte Carlo price=0.1159, predicted=-0.4017
loss=0.0110, Monte Carlo price=0.1163, predicted=-0.4017
loss=0.0103, Monte Carlo price=0.1193, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1191, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1154, predicted=-0.4017
loss=0.0105, Monte Carlo price=0.1234, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1175, predicted=-0.4017
loss=0.0124, Monte Carlo price=0.1174, predicted=-0.4017
loss=0.0104, Monte Carlo price=0.1176, predicted=-0.4017
loss=0.0108, Monte Carlo price=0.1176, predicted=-0.4017
loss=0.0118, Monte Carlo price=0.1177, predicted=-0.4017
loss=0.0105, Monte Carlo price=0.1227, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1175, predicted=-0.4017
loss=0.0112, Monte Carlo price=0.1192, predicted=-0.4017
loss=0.0113, Monte Carlo price=0.1237, predicted=-0.4017
loss=0.0135, Monte Carlo price=0.1198, predicted=-0.4017
loss=0.0103, Monte Carlo price=0.1192, predicted=-0.4017
loss=0.0098, Monte Carlo price=0.1193, predicted=-0.4017
loss=0.0095, Monte Carlo price=0.1259, predicted=-0.4017
loss=0.0116, Monte Carlo price=0.1196, predicted=-0.4017
loss=0.0114, Monte Carlo price=0.1141, predicted=-0.4017
loss=0.0105, Monte Carlo price=0.1212, predicted=-0.4017
loss=0.0109, Monte Carlo price=0.1156, predicted=-0.4017
loss=0.0108, Monte Carlo price=0.1157, predicted=-0.4017
loss=0.0096, Monte Carlo price=0.1250, predicted=-0.4017
loss=0.0106, Monte Carlo price=0.1171, predicted=-0.4017
loss=0.0107, Monte Carlo price=0.1227, predicted=-0.4017
