it,ground_truth,pred,mse
0,0.119235384740485,0.006662741303443909,0.012672600050403193
10,0.119235384740485,0.08857850730419159,0.0009398441341439165
20,0.119235384740485,0.14699029922485352,0.0007703352780346088
30,0.119235384740485,0.1536926031112671,0.0011872998978517623
40,0.119235384740485,0.12939895689487457,0.00010329819893748297
50,0.119235384740485,0.12693041563034058,5.92135003958314e-05
60,0.119235384740485,0.13341310620307922,0.0002010077858709047
70,0.119235384740485,0.13255077600479126,0.00017729964452156327
80,0.119235384740485,0.12174417823553085,6.294044800784355e-06
90,0.119235384740485,0.12903332710266113,9.599967453252548e-05
100,0.119235384740485,0.1215345486998558,5.286154912069604e-06
110,0.119235384740485,0.12926733493804932,0.0001006400247664106
120,0.119235384740485,0.12047316133975983,1.532090909712339e-06
130,0.119235384740485,0.118300661444664,8.737076397504821e-07
140,0.119235384740485,0.11552546173334122,1.3763528718934818e-05
150,0.119235384740485,0.1175166442990303,2.9540687050919057e-06
160,0.119235384740485,0.11651738733053207,7.387509920510849e-06
170,0.119235384740485,0.11924830824136734,1.6701687505567804e-10
180,0.119235384740485,0.11770692467689514,2.3361901659891337e-06
190,0.119235384740485,0.11877664923667908,2.104382624520798e-07
200,0.119235384740485,0.11579250544309616,1.1853417856388711e-05
210,0.119235384740485,0.11686721444129944,5.6082305659446626e-06
220,0.119235384740485,0.11781102418899536,2.028802980639886e-06
230,0.119235384740485,0.11842472851276398,6.571635195428895e-07
240,0.119235384740485,0.12079097330570221,2.4198557842345163e-06
250,0.119235384740485,0.11421798169612885,2.5174333309514476e-05
260,0.119235384740485,0.11698679625988007,5.056150155109235e-06
270,0.119235384740485,0.11554223299026489,1.363936985015389e-05
280,0.119235384740485,0.11331546306610107,3.504547263084066e-05
290,0.119235384740485,0.11620154976844788,9.204154637555536e-06
300,0.119235384740485,0.11641795933246613,7.937885929750358e-06
310,0.119235384740485,0.11959423124790192,1.2877081588531447e-07
320,0.119235384740485,0.12023203074932098,9.933032669286832e-07
330,0.119235384740485,0.11835998296737671,7.663282643611511e-07
340,0.119235384740485,0.1202559769153595,1.041608387415043e-06
350,0.119235384740485,0.11873045563697815,2.5495339956823834e-07
360,0.119235384740485,0.12181360274553299,6.647208081553602e-06
370,0.119235384740485,0.12032134085893631,1.1793006912018212e-06
380,0.119235384740485,0.11764754354953766,2.5212396476690917e-06
390,0.119235384740485,0.12018970400094986,9.107252508941842e-07
400,0.119235384740485,0.11893393099308014,9.087436182443753e-08
410,0.119235384740485,0.11981469392776489,3.355991344668822e-07
420,0.119235384740485,0.1189243495464325,9.674289193928338e-08
430,0.119235384740485,0.11952254176139832,8.245915465980656e-08
440,0.119235384740485,0.11963775753974915,1.6190386958765914e-07
450,0.119235384740485,0.11845435202121735,6.100121085666358e-07
460,0.119235384740485,0.11652366071939468,7.353447166558268e-06
470,0.119235384740485,0.11720551550388336,4.120369117701744e-06
480,0.119235384740485,0.11798273026943207,1.5691432238489173e-06
490,0.119235384740485,0.11686963587999344,5.596767670917151e-06
500,0.119235384740485,0.1187184602022171,2.672109782634862e-07
510,0.119235384740485,0.12033209204673767,1.2027669155879754e-06
520,0.119235384740485,0.12212618440389633,8.356722693979031e-06
530,0.119235384740485,0.12223874777555466,9.020189520422783e-06
540,0.119235384740485,0.1217207983136177,6.177280629512254e-06
550,0.119235384740485,0.12375907599925995,2.046378260471682e-05
560,0.119235384740485,0.12195757031440735,7.410294298870911e-06
570,0.119235384740485,0.11941105127334595,3.0858730767383996e-08
580,0.119235384740485,0.11869180202484131,2.954821687465773e-07
590,0.119235384740485,0.12074130773544312,2.2678040667436e-06
600,0.119235384740485,0.1210106909275055,3.1517120576732195e-06
610,0.119235384740485,0.12131938338279724,4.343050341159238e-06
620,0.119235384740485,0.12155278027057648,5.370322042887928e-06
630,0.119235384740485,0.12284941971302032,1.3061248782708358e-05
640,0.119235384740485,0.12485746294260025,3.1607763310699374e-05
650,0.119235384740485,0.12077616155147552,2.373993181286112e-06
660,0.119235384740485,0.11959230899810791,1.2739492567966093e-07
670,0.119235384740485,0.12240138649940491,1.0023567137483906e-05
680,0.119235384740485,0.12298038601875305,1.4025034574229293e-05
690,0.119235384740485,0.12170770019292831,6.112343696389958e-06
700,0.119235384740485,0.1164400577545166,7.813852958483207e-06
710,0.119235384740485,0.11752679198980331,2.9192891876820314e-06
720,0.119235384740485,0.1219058632850647,7.1314556570604636e-06
730,0.119235384740485,0.11809879541397095,1.2918352971456826e-06
740,0.119235384740485,0.12041672319173813,1.3955605364091254e-06
750,0.119235384740485,0.12292705476284027,1.3628427553956519e-05
760,0.119235384740485,0.12140597403049469,4.711457865904742e-06
770,0.119235384740485,0.11779683828353882,2.069415908792431e-06
780,0.119235384740485,0.12081143260002136,2.4839268555491287e-06
790,0.119235384740485,0.12069442123174667,2.128787482833157e-06
800,0.119235384740485,0.12072951346635818,2.2324206494794074e-06
810,0.119235384740485,0.12034909427165985,1.2403489198296922e-06
820,0.119235384740485,0.11977892369031906,2.9543458998670716e-07
830,0.119235384740485,0.1199638694524765,5.306899756053315e-07
840,0.119235384740485,0.1217837855219841,6.494346543145192e-06
850,0.119235384740485,0.12117666006088257,3.7685498695846564e-06
860,0.119235384740485,0.11801160871982574,1.497627748740618e-06
870,0.119235384740485,0.11936803162097931,1.75951949048698e-08
880,0.119235384740485,0.12145411968231201,4.9227847420840846e-06
890,0.119235384740485,0.12036063522100449,1.2661886439093198e-06
900,0.119235384740485,0.1185569018125534,4.6033908349463766e-07
910,0.119235384740485,0.12211763858795166,8.307387241236329e-06
920,0.119235384740485,0.1246228888630867,2.902520067105025e-05
930,0.119235384740485,0.1230364665389061,1.4448222838288115e-05
940,0.119235384740485,0.11747540533542633,3.0975275062306907e-06
950,0.119235384740485,0.1185639351606369,4.508445382781962e-07
960,0.119235384740485,0.12119829654693604,3.853022759904841e-06
970,0.119235384740485,0.12262557446956635,1.14933863991686e-05
980,0.119235384740485,0.12191635370254517,7.187594575529929e-06
990,0.119235384740485,0.11833427101373672,8.120059485341768e-07
1000,0.119235384740485,0.12242234498262405,1.0156715584974977e-05
1010,0.119235384740485,0.12284785509109497,1.3049942034036078e-05
1020,0.119235384740485,0.12157918512821198,5.493400257509088e-06
1030,0.119235384740485,0.11997045576572418,5.403294121461728e-07
1040,0.119235384740485,0.12214915454387665,8.490054467156966e-06
1050,0.119235384740485,0.11900925636291504,5.1134043142425735e-08
1060,0.119235384740485,0.12446697056293488,2.7369490217658474e-05
1070,0.119235384740485,0.12226969748735428,9.207053845813347e-06
1080,0.119235384740485,0.12234345078468323,9.660074535097979e-06
1090,0.119235384740485,0.11979890614748001,3.1755637614162955e-07
1100,0.119235384740485,0.11809636652469635,1.2973624958983742e-06
1110,0.119235384740485,0.12320435047149658,1.575268897394425e-05
1120,0.119235384740485,0.12168470770120621,5.999182965916069e-06
1130,0.119235384740485,0.12226812541484833,9.197515997937692e-06
1140,0.119235384740485,0.12074556946754456,2.2806579098439253e-06
1150,0.119235384740485,0.12142165005207062,4.77975601264253e-06
1160,0.119235384740485,0.12073036283254623,2.2349594957430286e-06
1170,0.119235384740485,0.12240204215049744,1.0027719152386632e-05
1180,0.119235384740485,0.12110305577516556,3.4881950937847216e-06
1190,0.119235384740485,0.11954797059297562,9.770991517728139e-08
1200,0.119235384740485,0.12226452678442001,9.175701522334751e-06
