loss=0.9985, Monte Carlo price=0.1194, predicted=-0.0022
loss=0.6982, Monte Carlo price=0.1209, predicted=-0.0022
loss=0.3832, Monte Carlo price=0.1190, predicted=-0.0022
loss=0.2686, Monte Carlo price=0.1165, predicted=-0.0022
loss=0.2600, Monte Carlo price=0.1140, predicted=-0.0022
loss=0.2011, Monte Carlo price=0.1182, predicted=-0.0022
loss=0.1593, Monte Carlo price=0.1215, predicted=-0.0022
loss=0.0878, Monte Carlo price=0.1164, predicted=-0.0022
loss=0.0677, Monte Carlo price=0.1208, predicted=-0.0022
loss=0.0511, Monte Carlo price=0.1198, predicted=-0.0022
loss=0.0426, Monte Carlo price=0.1184, predicted=-0.0022
loss=0.0353, Monte Carlo price=0.1231, predicted=-0.0022
loss=0.0334, Monte Carlo price=0.1192, predicted=-0.0022
loss=0.0337, Monte Carlo price=0.1207, predicted=-0.0022
loss=0.0313, Monte Carlo price=0.1188, predicted=-0.0022
loss=0.0347, Monte Carlo price=0.1132, predicted=-0.0022
loss=0.0288, Monte Carlo price=0.1224, predicted=-0.0022
loss=0.0283, Monte Carlo price=0.1212, predicted=-0.0022
loss=0.0269, Monte Carlo price=0.1205, predicted=-0.0022
loss=0.0282, Monte Carlo price=0.1185, predicted=-0.0022
loss=0.0282, Monte Carlo price=0.1188, predicted=-0.0022
loss=0.0277, Monte Carlo price=0.1208, predicted=-0.0022
loss=0.0236, Monte Carlo price=0.1216, predicted=-0.0022
loss=0.0281, Monte Carlo price=0.1178, predicted=-0.0022
loss=0.0270, Monte Carlo price=0.1207, predicted=-0.0022
loss=0.0261, Monte Carlo price=0.1209, predicted=-0.0022
loss=0.0234, Monte Carlo price=0.1268, predicted=-0.0022
loss=0.0274, Monte Carlo price=0.1184, predicted=-0.0022
loss=0.0254, Monte Carlo price=0.1223, predicted=-0.0022
loss=0.0245, Monte Carlo price=0.1176, predicted=-0.0022
loss=0.0224, Monte Carlo price=0.1191, predicted=-0.0022
loss=0.0247, Monte Carlo price=0.1180, predicted=-0.0022
loss=0.0241, Monte Carlo price=0.1210, predicted=-0.0022
loss=0.0233, Monte Carlo price=0.1192, predicted=-0.0022
loss=0.0223, Monte Carlo price=0.1200, predicted=-0.0022
loss=0.0216, Monte Carlo price=0.1223, predicted=-0.0022
loss=0.0243, Monte Carlo price=0.1186, predicted=-0.0022
loss=0.0227, Monte Carlo price=0.1137, predicted=-0.0022
loss=0.0199, Monte Carlo price=0.1214, predicted=-0.0022
loss=0.0202, Monte Carlo price=0.1223, predicted=-0.0022
loss=0.0220, Monte Carlo price=0.1184, predicted=-0.0022
loss=0.0202, Monte Carlo price=0.1235, predicted=-0.0022
loss=0.0205, Monte Carlo price=0.1201, predicted=-0.0022
loss=0.0207, Monte Carlo price=0.1172, predicted=-0.0022
loss=0.0195, Monte Carlo price=0.1197, predicted=-0.0022
loss=0.0182, Monte Carlo price=0.1221, predicted=-0.0022
loss=0.0221, Monte Carlo price=0.1212, predicted=-0.0022
loss=0.0200, Monte Carlo price=0.1154, predicted=-0.0022
loss=0.0191, Monte Carlo price=0.1195, predicted=-0.0022
loss=0.0211, Monte Carlo price=0.1201, predicted=-0.0022
loss=0.0188, Monte Carlo price=0.1190, predicted=-0.0022
loss=0.0197, Monte Carlo price=0.1211, predicted=-0.0022
loss=0.0178, Monte Carlo price=0.1206, predicted=-0.0022
loss=0.0194, Monte Carlo price=0.1155, predicted=-0.0022
loss=0.0188, Monte Carlo price=0.1203, predicted=-0.0022
loss=0.0174, Monte Carlo price=0.1239, predicted=-0.0022
loss=0.0194, Monte Carlo price=0.1188, predicted=-0.0022
loss=0.0183, Monte Carlo price=0.1202, predicted=-0.0022
loss=0.0193, Monte Carlo price=0.1147, predicted=-0.0022
loss=0.0194, Monte Carlo price=0.1165, predicted=-0.0022
loss=0.0184, Monte Carlo price=0.1203, predicted=-0.0022
loss=0.0161, Monte Carlo price=0.1234, predicted=-0.0022
loss=0.0165, Monte Carlo price=0.1238, predicted=-0.0022
loss=0.0172, Monte Carlo price=0.1208, predicted=-0.0022
loss=0.0184, Monte Carlo price=0.1177, predicted=-0.0022
loss=0.0181, Monte Carlo price=0.1162, predicted=-0.0022
loss=0.0181, Monte Carlo price=0.1135, predicted=-0.0022
loss=0.0163, Monte Carlo price=0.1194, predicted=-0.0022
loss=0.0169, Monte Carlo price=0.1213, predicted=-0.0022
loss=0.0166, Monte Carlo price=0.1199, predicted=-0.0022
loss=0.0165, Monte Carlo price=0.1177, predicted=-0.0022
loss=0.0158, Monte Carlo price=0.1226, predicted=-0.0022
loss=0.0172, Monte Carlo price=0.1191, predicted=-0.0022
loss=0.0174, Monte Carlo price=0.1181, predicted=-0.0022
loss=0.0159, Monte Carlo price=0.1192, predicted=-0.0022
loss=0.0156, Monte Carlo price=0.1242, predicted=-0.0022
loss=0.0162, Monte Carlo price=0.1218, predicted=-0.0022
loss=0.0158, Monte Carlo price=0.1247, predicted=-0.0022
loss=0.0161, Monte Carlo price=0.1206, predicted=-0.0022
loss=0.0167, Monte Carlo price=0.1187, predicted=-0.0022
loss=0.0155, Monte Carlo price=0.1198, predicted=-0.0022
loss=0.0143, Monte Carlo price=0.1209, predicted=-0.0022
loss=0.0173, Monte Carlo price=0.1216, predicted=-0.0022
loss=0.0155, Monte Carlo price=0.1166, predicted=-0.0022
